FID,Status,Score,Match_type,Match_addr,,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,Nbrhd,City,Subregion,Region,Postal,PostalExt,Country,LangCode,Addr_type,StreetID,Distance,X,Y,DisplayX,DisplayY,Xmin,Ymin,Xmax,Ymax,ARC_Street,ARC_City,ARC_State,ARC_ZIP,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
121,M,79.91,M,"560 Stanford Ave, Los Angeles, CA, 90013",L,560,500,598, , ,Stanford,Ave, , ,Los Angeles, ,CA,90013, ,USA,ENG,StreetAddress,6984000016,0,-118.242106,34.041456,-118.242107,34.041456,-118.292107,33.991456,-118.192107,34.091456,560 S. STANFORD ST.,LOS ANGELES, ,90013,039-009703,PSH,Los Angeles Single Room Occupancy Housing Corporation,Eugene Hotel,C,0,SMF,Individual,NA,Chronically Homeless,Yes,0.93,560 S. Stanford St., ,Los Angeles,90013,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,206300,54, ,50,Skidrow, 
122,M,83.37,M,"660 Stanford Ave, Los Angeles, CA, 90021",L,660,600,668, , ,Stanford,Ave, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000018,0,-118.244073,34.039266,-118.244074,34.039266,-118.294074,33.989266,-118.194074,34.089266,660 S. STANFORD AVE.,LOS ANGELES, ,90013,028-006405,PSH,"LAMP Community, Inc.","Lamp, Inc. - Lodge SRA",C,0,SMF,Individual,NA,Mentally Ill,Yes,0.89,660 S. Stanford Ave., ,Los Angeles,90013,62118,Jose Manriquez,Manager,(213) 488-9559 x 203,josem@lampcommunity.org,SPA 4,SD 2,CD 14,206300,19, ,17,Skidrow, 
123,M,100,A,"605 W Olympic Blvd, Los Angeles, CA, 90015",R,605,601,699,W, ,Olympic,Blvd, , ,Los Angeles, ,CA,90015, ,USA,ENG,StreetAddress,6984000017,0,-118.261674,34.043825,-118.261674,34.043825,-118.311674,33.993825,-118.211674,34.093825,605 W OLYMPIC BLVD,Los Angeles, ,90015,038-010152,PSH,"Special Service for Groups, Inc.",Sponsor-Based S+C (HACLA),C,0,SMF,Individual,NA,Mentally Ill,Yes,0.86,605 W OLYMPIC BLVD, ,Los Angeles,90015,62118,Eric Lee,Housing Program Coordinator,(213) 483-5167,elee@apctc.org,SPA 4,SD 3,CD 4,211500,22, ,19, , 
124,M,100,A,"1330 S Olive St, Los Angeles, CA, 90015",L,1330,1328,1398,S, ,Olive,St, , ,Los Angeles, ,CA,90015, ,USA,ENG,StreetAddress,6984000016,0,-118.263625,34.037243,-118.263625,34.037243,-118.313625,33.987243,-118.213625,34.087243,1330 S. Olive St.,Los Angeles, ,90015,011-001111,PSH,A Community of Friends,La Primavera Apartments,C,0,SMF,Individual,NA,Mentally Ill,No,0.97,1330 S. Olive St., ,Los Angeles,90015,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 1,CD 14,224010,35, ,34, , 
125,M,100,A,"3031 W West View St, Los Angeles, CA, 90016",R,3031,3001,3039,W, ,West View,St, , ,Los Angeles, ,CA,90016, ,USA,ENG,StreetAddress,6984000017,0,-118.353345,34.026158,-118.353345,34.026158,-118.403345,33.976158,-118.303345,34.076158,3031 W WEST VIEW ST,Los Angeles, ,90016,446-019050,PSH,Palm Communities,South West View Apartments,U,0,SMF+HC,Family,NA, ,Yes,0,3031 W WEST VIEW ST, ,Los Angeles,90016,62118,#N/A,#N/A,#N/A,#N/A,SPA 6,SD 2,CD 10,219700,63, ,0, , 
126,M,83.37,M,"538 Wall St, Los Angeles, CA, 90013",L,538,500,598, , ,Wall,St, , ,Los Angeles, ,CA,90013, ,USA,ENG,StreetAddress,6984000016,0,-118.246237,34.044324,-118.246238,34.044324,-118.296238,33.994324,-118.196238,34.094324,538 S. WALL ST.,LOS ANGELES, ,90015,039-009713,PSH,Los Angeles Single Room Occupancy Housing Corporation,Palmer House,C,0,SMF,Individual,NA,Chronically Homeless,No,0.91,538 S. Wall St., ,Los Angeles,90015,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,206300,65, ,59,Skidrow, 
127,M,100,A,"303 Loma Dr, Los Angeles, CA, 90017",R,303,301,399, , ,Loma,Dr, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000027,0,-118.265675,34.059865,-118.265675,34.059865,-118.315675,34.009865,-118.215675,34.109865,303 Loma Dr,Los Angeles, ,90017,289-007900,OPH,New Economics For Women,Homeless Section 8 Voucher Program,C,0,SMF,Individual,NA,NA,Yes,1,303 Loma Dr, ,Los Angeles,90017,62118,Sandra Villalobos,VP of Operations,(213) 484-1008,svillalobos@newcapital-llc.com,SPA 4,SD 1,CD 1,209101,2, ,2, , 
128,M,100,A,"1200 Wilshire Blvd, Los Angeles, CA, 90017",L,1200,1200,1298, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000027,0,-118.264882,34.052987,-118.264882,34.052987,-118.314882,34.002987,-118.214882,34.102987,1200 WIlshire Blvd,Los Angeles, ,90017,392-016300,TH,Integrated Recovery Network,Transitional Housing Program,C,0,SMF,Individual,NA,Persons Returning from Prison or Jail,No,1,1200 WIlshire Blvd, ,Los Angeles,90017,62118,Marsha Temple,Executive Director,(213) 977-9447,mtemple@integratedrecoverynetwork.org,SPA 4,SD 1,CD 1,209102,23, ,23, , 
129,M,100,A,"2520 Alsace Ave, Los Angeles, CA, 90016",L,2520,2500,2554, , ,Alsace,Ave, , ,Los Angeles, ,CA,90016, ,USA,ENG,StreetAddress,6984000031,0,-118.354753,34.033362,-118.354753,34.033362,-118.404753,33.983362,-118.304753,34.083362,2520 1/2 ALSACE AVE,Los Angeles, ,90016,041-011353,ES,Watts Labor Community Action Committee,Year Round Emergency Shelter,C,Facility-based beds,SFHC,Family,NA,NA,No,0,2520 1/2 ALSACE AVE, ,Los Angeles,90016,62118,Tanya Belvin,"Director, Homeless & Housing Services",(310) 490-7133,tbelvin@wlcac.org,SPA 6,SD 2,CD 10,218500,48, ,0, , 
130,M,100,A,"375 Columbia Ave, Los Angeles, CA, 90017",R,375,301,399, , ,Columbia,Ave, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000027,0,-118.26551,34.057731,-118.26551,34.057731,-118.31551,34.007731,-118.21551,34.107731,375 Columbia Avenue,Los Angeles, ,90017,289-007901,TH,New Economics For Women,La Posada,C,0,SM,Individual,NA,NA,Yes,1,375 Columbia Avenue, ,Los Angeles,90017,62118,Maggie  Cervantes,Executive Director,(213) 483-2058,mcervantes@neworg.us,SPA 4,SD 1,CD 1,209101,110, ,110, , 
131,M,100,A,"1624 S Hope St, Los Angeles, CA, 90015",L,1624,1600,1674,S, ,Hope,St, , ,Los Angeles, ,CA,90015, ,USA,ENG,StreetAddress,6984000041,0,-118.267649,34.036224,-118.267649,34.036224,-118.317649,33.986224,-118.217649,34.086224,1624 S HOPE ST,Los Angeles, ,90015,036-009810,PSH,Skid Row Housing Trust,New Carver Apartments,C,0,SMF,Individual,NA,Chronically Homeless,Yes,0.88,1624 S HOPE ST, ,Los Angeles,90015,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 1,CD 14,224010,92, ,81, , 
132,M,100,A,"733 Hartford Ave, Los Angeles, CA, 90017",R,733,701,751, , ,Hartford,Ave, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000022,0,-118.267865,34.051334,-118.267865,34.051334,-118.317865,34.001334,-118.217865,34.101334,733 Hartford Ave.,Los Angeles, ,90017,011-001102,PSH,A Community of Friends,Brandon Apartments,C,0,HC,Family,NA,Multi-Diagnosed,Yes,0.99,733 Hartford Ave., ,Los Angeles,90017,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 1,CD 1,209300,71, ,70, , 
133,M,100,A,"1200 Wilshire Blvd, Los Angeles, CA, 90017",L,1200,1200,1298, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000027,0,-118.264882,34.052987,-118.264882,34.052987,-118.314882,34.002987,-118.214882,34.102987,1200 Wilshire Blvd.,Los Angeles, ,90017,392-016303,PSH,Integrated Recovery Network,Housing and Supportive Services 1,N,0,SMF,Individual,NA, ,Yes,1,1200 Wilshire Blvd., Suite 402,Los Angeles,90017,62118,Marsha Temple,Executive Director,(213) 977-9446,mtemple@integratedrecoverynetwork.org,SPA 4,SD 1,CD 1,209102,20, ,20, , 
134,M,100,A,"811 Wilshire Blvd, Los Angeles, CA, 90017",R,811,801,823, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000023,0,-118.258359,34.049605,-118.258359,34.049605,-118.308359,33.999605,-118.208359,34.099605,811 Wilshire Blvd,Los Angeles, ,90017,333-013161,ES,Los Angeles Homeless Services Authority,ERT/Calworks Family Voucher Program,C,Voucher beds,SMF+HC,Family,NA,NA,No,1,811 Wilshire Blvd, 6th Floor,Los Angeles,90017,62118,Pearl Cortez,ERT/HCFP Housing Specialist,(213) 225-6574,pcortez@lahsa.org,SPA 4,SD 1,CD 14,207710,10, ,10, , 
135,M,83.37,M,"534 Wall St, Los Angeles, CA, 90013",L,534,500,598, , ,Wall,St, , ,Los Angeles, ,CA,90013, ,USA,ENG,StreetAddress,6984000016,0,-118.246184,34.044379,-118.246185,34.044379,-118.296185,33.994379,-118.196185,34.094379,534 S. WALL ST.,LOS ANGELES, ,90015,039-009702,PSH,Los Angeles Single Room Occupancy Housing Corporation,Carlton Hotel,C,0,SMF,Individual,NA,Chronically Homeless,No,0.14,534 S. Wall St., ,Los Angeles,90015,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,206300,43, ,6,Skidrow, 
136,M,83.37,M,"517 San Julian St, Los Angeles, CA, 90013",R,517,501,599, , ,San Julian,St, , ,Los Angeles, ,CA,90013, ,USA,ENG,StreetAddress,6984000031,0,-118.24522,34.044307,-118.245221,34.044307,-118.295221,33.994307,-118.195221,34.094307,517 S. SAN JULIAN ST.,LOS ANGELES, ,90017,039-009747,TH,Los Angeles Single Room Occupancy Housing Corporation,GPD - Veterans Transitional Housing VTP 36,C,0,SMF,Individual,NA,NA,No,0.78,517 S. San Julian St., ,Los Angeles,90017,62118,Rosalind Harris,Program Manager,(213) 229-9680,gabrieln@srohousing.org,SPA 4,SD 2,CD 14,206300,36, ,28,Skidrow,Veterans
137,M,90.87,A,"1340 Maryland St, Los Angeles, CA, 90017",L,1340,1300,1398, , ,Maryland,St, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000027,0,-118.261615,34.056073,-118.261615,34.056073,-118.311615,34.006073,-118.211615,34.106073,1340 W. Maryland St.,Los Angeles, ,90017,011-001114,PSH,A Community of Friends,Maryland Apartments,C,0,SMF,Individual,NA,Mentally Ill,No,0.88,1340 W. Maryland St., ,Los Angeles,90017,62118,Dora Leong Gallo,CEO,(213) 480-0811,dgallo@acof.org,SPA 4,SD 1,CD 1,209200,33, ,29, , 
138,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",L,2116,2116,2158, , ,Arlington,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000042,0,-118.317581,34.037561,-118.317581,34.037561,-118.367581,33.987561,-118.267581,34.087561,2116 Arlington Ave.,Los Angeles, ,90018,045-001003,TH,1736 Family Crisis Center,South Bay 1 Domestic Violence Transitional Shelter,C,0,SFHC,Family,DV,NA,No,0.75,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 737-3900,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,12, ,9, , 
139,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",L,2116,2116,2158, , ,Arlington,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000042,0,-118.317581,34.037561,-118.317581,34.037561,-118.367581,33.987561,-118.267581,34.087561,2116 Arlington Ave.,Los Angeles, ,90018,045-001002,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 2,C,Facility-based beds,SFHC,Family,DV,NA,No,0.8,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 737-3900,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,5, ,4, , 
140,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",L,2116,2116,2158, , ,Arlington,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000042,0,-118.317581,34.037561,-118.317581,34.037561,-118.367581,33.987561,-118.267581,34.087561,2116 Arlington Ave.,Los Angeles, ,90018,045-001020,RRH,1736 Family Crisis Center,SSVF - Supportive Services for Veteran Families,C,0,SMF+HC,Family,NA, ,No,1,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3902,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,28, ,28, , 
141,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",L,2116,2116,2158, , ,Arlington,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000042,0,-118.317581,34.037561,-118.317581,34.037561,-118.367581,33.987561,-118.267581,34.087561,2116 Arlington Ave.,Los Angeles, ,90018,045-001001,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 1,C,Facility-based beds,SFHC,Family,DV,NA,No,0.4,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3905,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,5, ,2, , 
142,M,100,PP, , , , , , , , , , , , , , , , , , , , ,0,-118.327364,34.046288,0,0,0,0,0,0,CONFIDENTIAL,LOS ANGELES, ,90019,299-009200,TH,"Restore, A Renewal For Women, Inc.",Restore Transitional Housing,C,0,SFHC,Family,DV,NA,No,0.47,Confidential, ,Los Angeles,90019,62118,Deidre Lewis, ,(323) 937-7672, ,SPA 4,SD 2,CD 10,221301,17, ,8, , 
143,M,100,A,"1925 W Washington Blvd, Los Angeles, CA, 90018",R,1925,1925,1943,W, ,Washington,Blvd, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000017,0,-118.300924,34.040022,-118.300924,34.040022,-118.350924,33.990022,-118.250924,34.090022,1925 W. Washington Blvd.,Los Angeles, ,90018,282-007400,PSH,Mental Health America of Los Angeles,Crossroad's Village,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,1925 W. Washington Blvd., ,Los Angeles,90018,62118,Amy Pacheco,Homeless Services Contract Administrator,(562) 485-8290,apacheco@mhala.org,SPA 4,SD 2,CD 10,221210,20, ,20, , 
144,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",L,2116,2116,2158, , ,Arlington,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000042,0,-118.317581,34.037561,-118.317581,34.037561,-118.367581,33.987561,-118.267581,34.087561,2116 Arlington Ave.,Los Angeles, ,90018,045-001014,TH,1736 Family Crisis Center,Transitional Program-LA 2,C,0,SFHC,Family,DV,NA,No,0.8,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3900,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,15, ,12, , 
145,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",L,2116,2116,2158, , ,Arlington,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000042,0,-118.317581,34.037561,-118.317581,34.037561,-118.367581,33.987561,-118.267581,34.087561,2116 Arlington Ave.,Los Angeles, ,90018,045-001021,ES,1736 Family Crisis Center,South Bay 1 Domestic Violence Shelter,C,Facility-based beds,SFHC,Family,DV, ,Yes,0.67,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3901,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,12, ,8, , 
146,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",L,2116,2116,2158, , ,Arlington,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000042,0,-118.317581,34.037561,-118.317581,34.037561,-118.367581,33.987561,-118.267581,34.087561,2116 Arlington Ave.,Los Angeles, ,90018,045-001012,TH,1736 Family Crisis Center,Transitional Program-LA 1,C,0,SMHC,Family,DV,NA,Yes,0.53,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3903,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,15, ,8, , 
147,M,90.87,A,"725 Witmer St, Los Angeles, CA, 90017",R,725,701,799, , ,Witmer,St, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000016,0,-118.268063,34.052045,-118.268063,34.052045,-118.318063,34.002045,-118.218063,34.102045,725 S. Witmer St.,Los Angeles, ,90017,011-001116,PSH,A Community of Friends,Parker Hotel Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.97,725 S. Witmer St., ,Los Angeles,90017,62118,Dora Leong Gallo,CEO,(213) 480-0810,dgallo@acof.org,SPA 4,SD 1,CD 1,209300,30, ,29, , 
148,M,100,A,"1824 4th Ave, Los Angeles, CA, 90019",L,1824,1700,1830, , ,4th,Ave, , ,Los Angeles, ,CA,90019, ,USA,ENG,StreetAddress,6984000016,0,-118.321194,34.040042,-118.321194,34.040042,-118.371194,33.990042,-118.271194,34.090042,1824 4th Ave.,Los Angeles, ,90019,158-005150,TH,Gramercy Housing Group,Gramercy Court,C,0,HC,Youth,NA,Youth (Ages 18-25),Yes,1,1824 4th Ave., ,Los Angeles,90019,62118,Courtney Kanagi,Director of Community Outreach,(323) 737-7351,courtneyk@epath.org,SPA 4,SD 2,CD 10,218120,30, ,30, , 
149,M,100,A,"2561 Venice Blvd, Los Angeles, CA, 90019",R,2561,2511,2599, , ,Venice,Blvd, , ,Los Angeles, ,CA,90019, ,USA,ENG,StreetAddress,6984000031,0,-118.31713,34.043601,-118.31713,34.043601,-118.36713,33.993601,-118.26713,34.093601,2561 Venice Blvd,Los Angeles, ,90019,257-005050,TH,Good Shepherd Shelter of Los Angeles,Good Shepherd Shelter,C,0,SFHC,Family,DV,NA,No,0.98,2561 Venice Blvd, ,Los Angeles,90019,62118,Lois Lengel,Regional Manager,(323) 737-6111,llengel@goodshephercenter.org,SPA 4,SD 2,CD 10,221301,48, ,47, , 
150,M,100,A,"510 S Alexandria Ave, Los Angeles, CA, 90020",L,510,500,598,S, ,Alexandria,Ave, , ,Los Angeles, ,CA,90020, ,USA,ENG,StreetAddress,6984000016,0,-118.297865,34.065164,-118.297865,34.065164,-118.347865,34.015164,-118.247865,34.115164,510 S Alexandria Ave,Los Angeles, ,90020,183-001251,OPH,Alexandria House,Homeless Section 8 Voucher Program (HACLA),C,0,SFHC,Family,NA,NA,Yes,0.67,510 S Alexandria Ave, ,Los Angeles,90020,62118,Judy Vaughan,Founding Director,(213) 381-2649,judy@alexandriahouse.org,SPA 4,SD 2,CD 10,212100,24, ,16, , 
151,M,100,A,"426 S Alexandria Ave, Los Angeles, CA, 90020",L,426,400,498,S, ,Alexandria,Ave, , ,Los Angeles, ,CA,90020, ,USA,ENG,StreetAddress,6984000016,0,-118.29787,34.066704,-118.29787,34.066704,-118.34787,34.016704,-118.24787,34.116704,426 S. Alexandria Ave.,Los Angeles, ,90020,183-001250,TH,Alexandria House,Transitional Housing for Single Women & Women with Children,C,0,SFHC,Family,NA,NA,Yes,1,426 S. Alexandria Ave., ,Los Angeles,90020,62118,Judy Vaughan,Founding Director,(213) 381-2649,judy@alexandriahouse.org,SPA 4,SD 2,CD 10,211910,23, ,23, , 
152,M,100,A,"510 S Alexandria Ave, Los Angeles, CA, 90020",L,510,500,598,S, ,Alexandria,Ave, , ,Los Angeles, ,CA,90020, ,USA,ENG,StreetAddress,6984000016,0,-118.297865,34.065164,-118.297865,34.065164,-118.347865,34.015164,-118.247865,34.115164,510 S. Alexandria Ave.,Los Angeles, ,90020,263-005700,PSH,Alexandria House,Alexandria House Apartments,C,0,SMF+HC,Family,NA,Chronically Homeless,Yes,0,510 S. Alexandria Ave., ,Los Angeles,90020,62118,Sonia Yanez,Associate Director,(213) 381-2649,sunniemy426@yahoo.com,SPA 4,SD 2,CD 10,212100,26, ,0, , 
153,M,100,A,"1428 12th Ave, Los Angeles, CA, 90019",L,1428,1300,1598, , ,12th,Ave, , ,Los Angeles, ,CA,90019, ,USA,ENG,StreetAddress,6984000017,0,-118.325242,34.046032,-118.325242,34.046032,-118.375242,33.996032,-118.275242,34.096032,1428 12TH AVE,Los Angeles, ,90019,110-009606,TH,The Serra Project,Serra Project - 12th Avenue,N,0,SMF,Individual,HIV,Chronically Homeless,No,1,1428 12TH AVE, ,Los Angeles,90019,62118,Freda Vicki,Group Home Director,(323) 344-4890,vfreda@alliancehh.org,SPA 4,SD 2,CD 10,218110,6, ,6, , 
154,M,90.87,A,"345 Columbia Ave, Los Angeles, CA, 90017",R,345,301,399, , ,Columbia,Ave, , ,Los Angeles, ,CA,90017, ,USA,ENG,StreetAddress,6984000027,0,-118.265085,34.058405,-118.265085,34.058405,-118.315085,34.008405,-118.215085,34.108405,345 S Columbia Ave,Los Angeles, ,90017,389-016152,PSH,First Place for Youth,My First Place TAY Housing Stabilization Project- SD 5,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.75,345 S Columbia Ave, ,Los Angeles,90017,62724,Alex Atkinson,Director,(213) 835-2700,aatkinson@firstplaceforyouth.org,SPA 3,SD 5,NA,0,16, ,12, , 
155,M,100,A,"1242 E 7th St, Los Angeles, CA, 90021",R,1242,1226,1298,E, ,7th,St, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000013,0,-118.24165,34.037084,-118.24165,34.037084,-118.29165,33.987084,-118.19165,34.087084,1242 E. 7th St.,Los Angeles, ,90021,039-009748,PSH,Los Angeles Single Room Occupancy Housing Corporation,Rivers Apartments (General),C,0,SMF,Individual,NA,Chronically Homeless,No,1,1242 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,31, ,31, , 
156,M,100,A,"1242 E 7th St, Los Angeles, CA, 90021",R,1242,1226,1298,E, ,7th,St, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000013,0,-118.24165,34.037084,-118.24165,34.037084,-118.29165,33.987084,-118.19165,34.087084,1242 E. 7th St.,Los Angeles, ,90021,039-009717,PSH,Los Angeles Single Room Occupancy Housing Corporation,Rivers Apartments,C,0,SMF,Individual,HIV,Chronically Homeless,No,0.82,1242 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,38, ,31, , 
157,M,100,A,"1000 E 7th St, Los Angeles, CA, 90021",R,1000,1000,1038,E, ,7th,St, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000022,0,-118.243691,34.038524,-118.243691,34.038524,-118.293691,33.988524,-118.193691,34.088524,1000 E. 7th St.,Los Angeles, ,90021,039-009757,PSH,Los Angeles Single Room Occupancy Housing Corporation,Ford Apartments,N,0,SMF,Individual,NA,NA,No,0.67,1000 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,133, ,89, , 
158,M,100,A,"676 S Central Ave, Los Angeles, CA, 90021",L,676,674,698,S, ,Central,Ave, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000017,0,-118.240564,34.037327,-118.240564,34.037327,-118.290564,33.987327,-118.190564,34.087327,676 S CENTRAL AVE,Los Angeles, ,90021,036-009813,PSH,Skid Row Housing Trust,Produce Hotel,C,0,SMF,Individual,NA,NA,Yes,0.72,676 S CENTRAL AVE, ,Los Angeles,90021,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 2,CD 14,206300,95, ,68,Skidrow, 
159,M,100,A,"905 E 8th St, Los Angeles, CA, 90021",L,905,901,999,E, ,8th,St, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000016,0,-118.246672,34.036501,-118.246672,34.036501,-118.296672,33.986501,-118.196672,34.086501,905 E 8TH ST,Los Angeles, ,90021,210-001650,PSH,"Special Service for Groups, Inc.",Shelter Plus Care - Tenant Based Project (HACoLA),C,0,SMF+HC,Family,NA,NA,Yes,0.22,905 E 8TH ST, ,Los Angeles,90021,62118,Joo Eric Lee,MFT Intern,(213) 483-3000,elee@apctc.org,SPA 4,SD 2,CD 1,208710,94, ,21, , 
160,M,100,A,"905 E 6th St, Los Angeles, CA, 90021",L,905,901,917,E, ,6th,St, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000016,0,-118.241058,34.039775,-118.241058,34.039775,-118.291058,33.989775,-118.191058,34.089775,905 E 6TH ST,Los Angeles, ,90021,036-009815,PSH,Skid Row Housing Trust,Rossmore Hotel,C,0,SMF,Individual,NA,NA,Yes,0.93,905 E 6TH ST, ,Los Angeles,90021,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 2,CD 14,206300,58, ,54,Skidrow, 
161,M,100,A,"1014 E 7th St, Los Angeles, CA, 90021",R,1014,1000,1038,E, ,7th,St, , ,Los Angeles, ,CA,90021, ,USA,ENG,StreetAddress,6984000022,0,-118.243515,34.0384,-118.243515,34.0384,-118.293515,33.9884,-118.193515,34.0884,1014 E. 7th St.,Los Angeles, ,90021,039-009716,PSH,Los Angeles Single Room Occupancy Housing Corporation,Prentice Hotel,C,0,SMF,Individual,NA,Chronically Homeless,No,0.95,1014 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,44, ,42, , 
162,M,92.5,A,"1745 Wilcox Ave, Los Angeles, CA, 90028",L,1745,1701,1799, , ,Wilcox,Ave, , ,Los Angeles, ,CA,90028, ,USA,ENG,StreetAddress,6984000017,0,-118.331126,34.102653,-118.331126,34.102653,-118.381126,34.052653,-118.281126,34.152653,1745 Wilcox Ave,Los Angeles, ,90020,179-006904,PSH,Los Angeles Gay & Lesbian Community Services Center,TAY Independent Living Program,N,0,YMF,Youth,NA, ,Yes,0.93,1745 Wilcox Ave, ,Los Angeles,90020,62118,Luis Hernandez,Program Supervisor,(323) 993-7462,lhernandez@lagaycenter.org,SPA 4,SD 3,CD 13,190200,14, ,13, , 
